                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.0211,                0.80223,                 1.1704,                0.80763,                0.80526,                0.86344,                0.59764,                 1.0341,                0.93666,                 1.1995,             0.00093575,             0.00093575,             0.00093575
                     46,                 1.0189,                0.80858,                  1.176,                0.81393,                0.75976,                0.83579,                 0.5586,                 1.0898,                0.97919,                 1.2665,               0.000911,               0.000911,               0.000911
                     47,                 1.0168,                0.80525,                 1.1752,                0.76447,                0.79158,                0.79049,                0.54223,                 1.0886,                 1.0201,                 1.2482,             0.00088625,             0.00088625,             0.00088625
                     48,                 1.0014,                0.77984,                 1.1676,                0.87747,                0.80656,                0.88527,                0.63431,                0.99817,                0.81016,                 1.1699,              0.0008615,              0.0008615,              0.0008615
                     49,                 1.0253,                0.80062,                 1.1732,                0.80822,                0.78962,                0.85731,                0.59599,                 1.0659,                0.91679,                  1.228,             0.00083675,             0.00083675,             0.00083675
                     50,                 1.0188,                0.81048,                  1.186,                0.82074,                0.76421,                0.85743,                0.60243,                 1.0404,                0.94499,                 1.2188,               0.000812,               0.000812,               0.000812
                     51,                0.99814,                0.77253,                 1.1575,                0.78316,                0.79837,                0.84248,                0.60043,                0.99683,                0.93984,                 1.1762,             0.00078725,             0.00078725,             0.00078725
                     52,                 1.0296,                 0.7865,                 1.1857,                0.88021,                0.79789,                0.88031,                0.62053,                 1.0324,                0.83554,                 1.2108,              0.0007625,              0.0007625,              0.0007625
                     53,                 0.9592,                0.74393,                 1.1489,                0.85243,                0.79895,                0.86968,                0.61401,                 1.0315,                0.91599,                 1.1965,             0.00073775,             0.00073775,             0.00073775
                     54,                0.97421,                0.76745,                  1.164,                0.90558,                0.78747,                0.88273,                0.63195,                 1.0176,                0.81731,                 1.1987,               0.000713,               0.000713,               0.000713
                     55,                0.96863,                0.74844,                 1.1505,                0.88737,                0.79895,                0.88095,                0.63034,                0.99929,                0.83436,                 1.1761,             0.00068825,             0.00068825,             0.00068825
                     56,                0.94271,                0.73747,                 1.1314,                0.90474,                0.80421,                0.88672,                0.63092,                0.98804,                0.81837,                 1.1666,              0.0006635,              0.0006635,              0.0006635
                     57,                 0.9392,                0.71362,                  1.132,                0.85786,                0.75368,                0.87039,                0.62169,                 1.0309,                0.83442,                 1.1959,             0.00063875,             0.00063875,             0.00063875
                     58,                0.94207,                0.74617,                 1.1364,                0.91212,                0.78316,                0.88822,                0.63728,                 1.0078,                0.78382,                 1.1736,               0.000614,               0.000614,               0.000614
                     59,                0.93422,                 0.7221,                  1.127,                0.89571,                0.79368,                0.89477,                0.63165,                 1.0078,                0.79251,                 1.1665,             0.00058925,             0.00058925,             0.00058925
                     60,                0.91884,                0.71777,                 1.1233,                0.88446,                0.81263,                0.90328,                0.64514,                 1.0067,                0.74832,                 1.1714,              0.0005645,              0.0005645,              0.0005645
                     61,                0.92523,                0.69902,                 1.1335,                0.91159,                0.79228,                0.89107,                0.63885,                0.98586,                0.78606,                 1.1787,             0.00053975,             0.00053975,             0.00053975
                     62,                0.89914,                0.68305,                 1.1186,                0.79833,                0.80316,                0.85101,                0.59793,                 1.0183,                0.91258,                 1.1956,               0.000515,               0.000515,               0.000515
                     63,                0.90582,                0.67666,                  1.114,                0.87723,                0.78977,                0.89169,                0.64424,                0.97448,                0.79592,                 1.1451,             0.00049025,             0.00049025,             0.00049025
                     64,                0.92983,                0.69212,                  1.123,                0.83311,                 0.7987,                0.87608,                0.63012,                0.99568,                0.82901,                 1.1669,              0.0004655,              0.0004655,              0.0004655
                     65,                0.91318,                0.67394,                 1.1152,                0.85769,                0.80947,                0.88586,                0.63691,                0.98317,                0.79719,                 1.1578,             0.00044075,             0.00044075,             0.00044075
                     66,                0.89703,                 0.6554,                 1.1079,                0.84721,                0.81129,                0.87964,                0.62667,                 1.0101,                0.82593,                 1.1967,               0.000416,               0.000416,               0.000416
                     67,                 0.8767,                0.64678,                 1.0843,                0.86393,                 0.8087,                0.89149,                0.65351,                0.95617,                0.78855,                  1.147,             0.00039125,             0.00039125,             0.00039125
                     68,                0.89617,                0.65644,                 1.1165,                0.90458,                0.79831,                0.90197,                0.66068,                0.95009,                0.73519,                 1.1427,              0.0003665,              0.0003665,              0.0003665
                     69,                0.89113,                0.64115,                 1.1029,                0.91417,                0.81368,                0.89379,                0.64951,                0.97211,                0.75284,                  1.149,             0.00034175,             0.00034175,             0.00034175
                     70,                0.89205,                0.63957,                 1.0987,                0.89635,                0.81158,                0.89689,                0.64545,                  0.977,                0.73569,                 1.1587,               0.000317,               0.000317,               0.000317
                     71,                0.79609,                0.55838,                 1.0538,                0.80293,                0.81368,                0.87812,                0.63105,                0.99548,                0.82482,                 1.1803,             0.00029225,             0.00029225,             0.00029225
                     72,                0.77713,                0.52314,                  1.029,                0.83706,                0.80211,                0.88319,                0.64404,                0.95171,                 0.7987,                 1.1468,              0.0002675,              0.0002675,              0.0002675
                     73,                0.79305,                0.52487,                 1.0409,                0.88882,                0.81053,                0.90023,                 0.6576,                0.95565,                0.75098,                 1.1428,             0.00024275,             0.00024275,             0.00024275
                     74,                0.78116,                0.50568,                  1.031,                0.83279,                0.79164,                0.87314,                0.64013,                0.96385,                0.85051,                 1.1445,               0.000218,               0.000218,               0.000218
                     75,                0.76314,                0.48264,                 1.0272,                0.83621,                0.78947,                0.88634,                0.64811,                0.96033,                0.80996,                 1.1417,             0.00019325,             0.00019325,             0.00019325
                     76,                0.75032,                0.47916,                 1.0026,                0.84591,                0.80316,                0.89349,                0.64834,                0.97957,                0.77281,                 1.1659,              0.0001685,              0.0001685,              0.0001685
                     77,                0.75398,                0.47745,                  1.016,                0.87354,                0.78947,                0.89596,                0.64758,                0.99213,                 0.7685,                 1.1724,             0.00014375,             0.00014375,             0.00014375
                     78,                0.73392,                0.47643,                 1.0086,                0.85535,                0.81895,                0.90292,                0.66157,                0.95674,                 0.7708,                 1.1543,               0.000119,               0.000119,               0.000119
                     79,                0.74255,                0.46364,                 1.0071,                0.87718,                 0.8119,                0.90108,                0.66312,                0.97372,                  0.748,                 1.1689,              9.425e-05,              9.425e-05,              9.425e-05
                     80,                 0.7325,                 0.4627,                  1.012,                0.85678,                0.80632,                0.89767,                0.65818,                0.96482,                0.76525,                 1.1657,               6.95e-05,               6.95e-05,               6.95e-05
